tweet_id	query
t731798200806412288	pattern3_entity_wants_their_concept_back
t743419294755790848	pattern3_entity_wants_their_concept_back
t740285299247468544	pattern3_entity_wants_their_concept_back
t741829577337536512	pattern3_entity_wants_their_concept_back
t740296672480108544	pattern3_entity_wants_their_concept_back
t743765963728916480	pattern3_entity_wants_their_concept_back
t743413973819756544	pattern3_entity_wants_their_concept_back
t745318825437073408	pattern3_entity_wants_their_concept_back
t742483487014457344	pattern3_entity_wants_their_concept_back
t744541531986661378	pattern3_entity_wants_their_concept_back
t734356449053278208	pattern3_entity_wants_their_concept_back
t737364757783678976	pattern3_entity_wants_their_concept_back
t743597079994470401	pattern3_entity_wants_their_concept_back
t743494846296522752	pattern3_entity_wants_their_concept_back
t740265050984812544	pattern3_entity_wants_their_concept_back
t745260158645846016	pattern3_entity_wants_their_concept_back
t743821452516933632	pattern3_entity_wants_their_concept_back
t742727432059379712	pattern3_entity_wants_their_concept_back
t726838002433957888	pattern3_entity_wants_their_concept_back
t738660824416440320	pattern3_entity_wants_their_concept_back
t745369193076269056	pattern3_entity_wants_their_concept_back
t744094862153293825	pattern3_entity_wants_their_concept_back
t745708057942962176	pattern3_entity_wants_their_concept_back
t744854393120559104	pattern3_entity_wants_their_concept_back
t743757730716880896	pattern3_entity_wants_their_concept_back
t739885574916603905	pattern3_entity_wants_their_concept_back
t743389354891030528	pattern3_entity_wants_their_concept_back
t742252566873001984	pattern3_entity_wants_their_concept_back
t729755786029760512	pattern3_entity_wants_their_concept_back
t730845276567670788	pattern3_entity_wants_their_concept_back
t745230509207232512	pattern3_entity_wants_their_concept_back
t733738546960470016	pattern3_entity_wants_their_concept_back
t734111198405361664	pattern3_entity_wants_their_concept_back
t745318135914434561	pattern3_entity_wants_their_concept_back
t742707985768677376	pattern3_entity_wants_their_concept_back
t744448958244741120	pattern3_entity_wants_their_concept_back
t740980777756811264	pattern3_entity_wants_their_concept_back
t729799574039187456	pattern3_entity_wants_their_concept_back
t742810759940460544	pattern3_entity_wants_their_concept_back
t736580602045075456	pattern3_entity_wants_their_concept_back
t730442798877556736	pattern3_entity_wants_their_concept_back
t731905502762926080	pattern3_entity_wants_their_concept_back
t745997420736151553	pattern3_entity_wants_their_concept_back
t732104613038567424	pattern3_entity_wants_their_concept_back
t742029356982226944	pattern3_entity_wants_their_concept_back
t741814533254217731	pattern3_entity_wants_their_concept_back
t745176271810748416	pattern3_entity_wants_their_concept_back
t743101741210669057	pattern3_entity_wants_their_concept_back
t739988957254029312	pattern3_entity_wants_their_concept_back
t745367990271610880	pattern3_entity_wants_their_concept_back
t743397610451505152	pattern3_entity_wants_their_concept_back
t743056269293031424	pattern3_entity_wants_their_concept_back
t735903060967448577	pattern3_entity_wants_their_concept_back
t732464804795834368	pattern3_entity_wants_their_concept_back
t745755087612559360	pattern3_entity_wants_their_concept_back
t743006450256097280	pattern3_entity_wants_their_concept_back
t732267449714913280	pattern3_entity_wants_their_concept_back
t734196342571044868	pattern3_entity_wants_their_concept_back
t742666235029159936	pattern3_entity_wants_their_concept_back
t744459905084628993	pattern3_entity_wants_their_concept_back
t742487212282019840	pattern3_entity_wants_their_concept_back
t744524876791357440	pattern3_entity_wants_their_concept_back
t736992409024876544	pattern3_entity_wants_their_concept_back
t744873720200704000	pattern3_entity_wants_their_concept_back
t737589902674534402	pattern3_entity_wants_their_concept_back
t746026174439129088	pattern3_entity_wants_their_concept_back
t745488285162582016	pattern3_entity_wants_their_concept_back
t742446410663133184	pattern3_entity_wants_their_concept_back
t743340441941090304	pattern3_entity_wants_their_concept_back
t743138257194582020	pattern3_entity_wants_their_concept_back
t739567113682161666	pattern3_entity_wants_their_concept_back
t744473400236711938	pattern3_entity_wants_their_concept_back
t734364030194884608	pattern3_entity_wants_their_concept_back
t744874497652760576	pattern3_entity_wants_their_concept_back
t742985101173248000	pattern3_entity_wants_their_concept_back
t742651567338323968	pattern3_entity_wants_their_concept_back
t744788787029434368	pattern3_entity_wants_their_concept_back
t739553874206425090	pattern3_entity_wants_their_concept_back
t745676479716036609	pattern3_entity_wants_their_concept_back
t735432780625158145	pattern3_entity_wants_their_concept_back
t744604973552570368	pattern3_entity_wants_their_concept_back
t742431428793794561	pattern3_entity_wants_their_concept_back
