tweet_id	query
t745886425766309890	pattern24_entities_like_group
t744881829270937600	pattern24_entities_like_group
t745775396218671104	pattern24_entities_like_group
t736466609598910464	pattern24_entities_like_group
t742643805627768832	pattern24_entities_like_group
t733719443348566016	pattern24_entities_like_group
t729544306227302400	pattern24_entities_like_group
t743735040647921664	pattern24_entities_like_group
t744619389270425601	pattern24_entities_like_group
t742467524000919552	pattern24_entities_like_group
t742500142138331136	pattern24_entities_like_group
t742874958733402113	pattern24_entities_like_group
t742317204360691712	pattern24_entities_like_group
t746078579289694208	pattern24_entities_like_group
t745303451782029312	pattern24_entities_like_group
t742658272130371585	pattern24_entities_like_group
t745761460547162112	pattern24_entities_like_group
t736147321315053570	pattern24_entities_like_group
t741700965141598208	pattern24_entities_like_group
t741044820202913797	pattern24_entities_like_group
t730023885681377280	pattern24_entities_like_group
t742418004428869632	pattern24_entities_like_group
t735038276323663872	pattern24_entities_like_group
t741017827390435328	pattern24_entities_like_group
t736318393763176448	pattern24_entities_like_group
t738497230018121731	pattern24_entities_like_group
t736006669998530560	pattern24_entities_like_group
t742437691799769088	pattern24_entities_like_group
t729396827120910338	pattern24_entities_like_group
t745554629597925376	pattern24_entities_like_group
t745858648497397760	pattern24_entities_like_group
t743569898392129537	pattern24_entities_like_group
t732967698926292992	pattern24_entities_like_group
t739457117153832960	pattern24_entities_like_group
t739439062172471296	pattern24_entities_like_group
t731378429564715008	pattern24_entities_like_group
t729421187210747905	pattern24_entities_like_group
t738765909544816640	pattern24_entities_like_group
t743334158898855942	pattern24_entities_like_group
t745328421631303684	pattern24_entities_like_group
t735063989403684864	pattern24_entities_like_group
t742983800544714753	pattern24_entities_like_group
t730768215136194561	pattern24_entities_like_group
t745699445262671874	pattern24_entities_like_group
t743910362823667712	pattern24_entities_like_group
t744310600092770304	pattern24_entities_like_group
t743030605399592960	pattern24_entities_like_group
t736220722935128065	pattern24_entities_like_group
t731425411293450240	pattern24_entities_like_group
t745265073191534592	pattern24_entities_like_group
t745898065874268160	pattern24_entities_like_group
t734806549370155008	pattern24_entities_like_group
t744174521385619456	pattern24_entities_like_group
t738486369522200577	pattern24_entities_like_group
t730436702226026496	pattern24_entities_like_group
t746089690407788544	pattern24_entities_like_group
t745266655798960130	pattern24_entities_like_group
t742770655897194496	pattern24_entities_like_group
t745617456035696640	pattern24_entities_like_group
t736079426278952960	pattern24_entities_like_group
t745914810479542272	pattern24_entities_like_group
t744849426879918081	pattern24_entities_like_group
t744612621043785729	pattern24_entities_like_group
t743019364497166336	pattern24_entities_like_group
t730643349590429697	pattern24_entities_like_group
t743031480864100352	pattern24_entities_like_group
t735361958929698816	pattern24_entities_like_group
t745257182493573120	pattern24_entities_like_group
t734798703421198338	pattern24_entities_like_group
t729398023051161601	pattern24_entities_like_group
t738473060395687936	pattern24_entities_like_group
t729709620600680448	pattern24_entities_like_group
t730745811466915840	pattern24_entities_like_group
t735361999304032256	pattern24_entities_like_group
t742099751986946048	pattern24_entities_like_group
t744578039158312960	pattern24_entities_like_group
t735346367472783360	pattern24_entities_like_group
t745531399331950592	pattern24_entities_like_group
t742392088273276928	pattern24_entities_like_group
t731173666076102656	pattern24_entities_like_group
t743090327171534849	pattern24_entities_like_group
t740927227878117376	pattern24_entities_like_group
t741601371242270720	pattern24_entities_like_group
t741290363437129728	pattern24_entities_like_group
t745723927381614592	pattern24_entities_like_group
t729700208490205184	pattern24_entities_like_group
t735915805230137344	pattern24_entities_like_group
t745414731498983424	pattern24_entities_like_group
t745222997112459264	pattern24_entities_like_group
t744488660947640320	pattern24_entities_like_group
t745515159670521856	pattern24_entities_like_group
t734396707291725824	pattern24_entities_like_group
